star_age  Teff  log_g  feh  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   1.423061E+03   4.728824E+03   1.779933E+00  -1.274053E+00    8.346136E+00   4.587178E-04   8.723445E-02  -1.869088E+00  -3.947022E+00  -4.543777E+00  -5.208536E+00  -3.455971E+00  -1.362183E+00  -2.815489E+00
   1.707627E+03   4.741176E+03   1.806811E+00  -1.274053E+00    8.401972E+00   4.357239E-04   8.464857E-02  -1.826143E+00  -3.890293E+00  -4.483807E+00  -5.145629E+00  -3.401771E+00  -1.334637E+00  -2.764949E+00
   2.049107E+03   4.754990E+03   1.835890E+00  -1.274053E+00    8.461992E+00   4.122904E-04   8.215691E-02  -1.780319E+00  -3.829216E+00  -4.419141E+00  -5.077683E+00  -3.343498E+00  -1.305810E+00  -2.710717E+00
   2.424980E+03   4.769440E+03   1.864626E+00  -1.274053E+00    8.520620E+00   3.906177E-04   8.003547E-02  -1.736161E+00  -3.769478E+00  -4.355677E+00  -5.010802E+00  -3.286652E+00  -1.278894E+00  -2.658003E+00
   2.780959E+03   4.781801E+03   1.889225E+00  -1.274053E+00    8.570855E+00   3.729565E-04   7.850967E-02  -1.698063E+00  -3.718274E+00  -4.301307E+00  -4.953549E+00  -3.237897E+00  -1.255236E+00  -2.612723E+00
   3.200732E+03   4.794165E+03   1.915340E+00  -1.274053E+00    8.624911E+00   3.548424E-04   7.720139E-02  -1.655992E+00  -3.663200E+00  -4.243089E+00  -4.892505E+00  -3.185254E+00  -1.227515E+00  -2.563529E+00
   3.672752E+03   4.808203E+03   1.941615E+00  -1.274053E+00    8.677891E+00   3.379431E-04   7.622584E-02  -1.616243E+00  -3.609110E+00  -4.185440E+00  -4.831633E+00  -3.133884E+00  -1.203157E+00  -2.515967E+00
   4.116923E+03   4.820103E+03   1.963825E+00  -1.274053E+00    8.722677E+00   3.242869E-04   7.567746E-02  -1.582477E+00  -3.563362E+00  -4.136695E+00  -4.780182E+00  -3.090420E+00  -1.182137E+00  -2.475685E+00
   4.646317E+03   4.832043E+03   1.987470E+00  -1.274053E+00    8.771044E+00   3.101575E-04   7.537807E-02  -1.545030E+00  -3.513982E+00  -4.084329E+00  -4.725141E+00  -3.043318E+00  -1.157436E+00  -2.431750E+00
   5.243642E+03   4.846853E+03   2.011102E+00  -1.274053E+00    8.816838E+00   2.973478E-04   7.537724E-02  -1.512359E+00  -3.466999E+00  -4.033656E+00  -4.671095E+00  -2.999113E+00  -1.139539E+00  -2.391348E+00
   5.796753E+03   4.857824E+03   2.030433E+00  -1.274053E+00    8.855351E+00   2.869854E-04   7.559685E-02  -1.483463E+00  -3.427540E+00  -3.991492E+00  -4.626466E+00  -2.961699E+00  -1.121700E+00  -2.356741E+00
   6.460486E+03   4.871211E+03   2.050831E+00  -1.274053E+00    8.894400E+00   2.768470E-04   7.604346E-02  -1.455898E+00  -3.387352E+00  -3.948021E+00  -4.579958E+00  -2.923977E+00  -1.107011E+00  -2.322374E+00
   7.212834E+03   4.884185E+03   2.070670E+00  -1.274053E+00    8.932450E+00   2.673131E-04   7.667092E-02  -1.428832E+00  -3.348156E+00  -3.905670E+00  -4.534676E+00  -2.887154E+00  -1.092215E+00  -2.288773E+00
   7.895492E+03   4.895612E+03   2.085955E+00  -1.274053E+00    8.960519E+00   2.604908E-04   7.728538E-02  -1.410278E+00  -3.319079E+00  -3.873831E+00  -4.500239E+00  -2.860148E+00  -1.083980E+00  -2.264561E+00
