                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "48b8e84"                               "gfortran"                                 "15.2.0"                    "x86_64-linux-26.3.2"                                 "CRMATH"                               "20260412"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42 
                            model_number                                num_zones                                 star_age                                   log_dt                                    log_L                                 log_Teff                                     Teff                                    log_R                                    log_g                                star_mass                             log_abs_mdot                             log_center_T                           log_center_Rho                             log_center_P                                center_h1                               center_he4                               center_c12                               center_o16                               center_n14                               surface_h1                              surface_he4                              surface_c12                              surface_o16                              surface_n14                       surf_c12_minus_o16                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                       phase_of_evolution                                rel_E_err                        log_rel_run_E_err                              num_retries                                num_iters   Mag_bol   Flux_bol   Interp_rad   B   I   J   M   R   U   V
                                      62                                      510                  2.2372064236126956E+000                 -4.7552274389976340E-001                  3.3165966304837928E+000                  3.6662938180204194E+000                  4.6376056666151117E+003                  1.8483638400655547E+000                  1.5864379867343583E+000                  6.9999999927158738E+000                 -8.3790196794358653E+000                  5.8555124108327563E+000                 -3.7220829767127466E+000                  1.0294118802907677E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674726E-005                  7.5700000000000034E-001                  2.4197424632953290E-001                  1.7234416803928876E-004                  4.6797044775657390E-004                  5.0517137046674693E-005                 -2.9562627971728515E-004                 -1.4954808871037651E+001                 -9.8999999999999986E+001                 -3.0404029562062100E+001                 -1.4954808871037649E+001                 -1.4954808871037651E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116439147173E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8300987166888504E-013                 -1.1366935450164970E+001                                        0                                        2   7.947031E+00   6.625029E-04   7.731211E-02   -2.168769E+00   -4.350749E+00   -4.972456E+00   -5.659647E+00   -3.840545E+00   -1.543768E+00   -3.172159E+00
                                      63                                      510                  2.6386814193351062E+000                 -3.9634149785213862E-001                  3.3165317375497834E+000                  3.6662970823439855E+000                  4.6376405247654975E+003                  1.8483248649514175E+000                  1.5865159368585837E+000                  6.9999999910388047E+000                 -8.3791075733490050E+000                  5.8555474394272427E+000                 -3.7219633040192757E+000                  1.0294273004707518E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674726E-005                  7.5700000000000012E-001                  2.4197424632953290E-001                  1.7234416803928873E-004                  4.6797044775657390E-004                  5.0517137046674693E-005                 -2.9562627971728515E-004                 -1.4954229467213786E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4954229467213786E+001                 -1.4954229467213786E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116447851946E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.7801957506008838E-013                 -1.1330352923642625E+001                                        0                                        2   7.947193E+00   6.624039E-04   7.731558E-02   -2.168647E+00   -4.350586E+00   -4.972282E+00   -5.659465E+00   -3.840389E+00   -1.543695E+00   -3.172014E+00
                                      64                                      510                  3.1204514142019995E+000                 -3.1716025180451379E-001                  3.3164545799139895E+000                  3.6663010160215501E+000                  4.6376825309752539E+003                  1.8482784187783921E+000                  1.5866088290798062E+000                  6.9999999890268034E+000                 -8.3792114412931014E+000                  5.8555895781207026E+000                 -3.7218195344085081E+000                  1.0294458318837375E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928868E-004                  4.6797044775657412E-004                  5.0517137046674733E-005                  7.5700000000000034E-001                  2.4197424632953288E-001                  1.7234416803928873E-004                  4.6797044775657396E-004                  5.0517137046674693E-005                 -2.9562627971728526E-004                 -1.4953534906423327E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4953534906423327E+001                 -1.4953534906423327E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  4.1306911537194270E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  6.5097765571091460E-013                 -1.1273768822100486E+001                                        0                                       10   7.947386E+00   6.622862E-04   7.731971E-02   -2.168502E+00   -4.350391E+00   -4.972076E+00   -5.659248E+00   -3.840203E+00   -1.543608E+00   -3.171842E+00
                                      65                                      510                  3.6985754080422710E+000                 -2.3797900575688899E-001                  3.3163624169901205E+000                  3.6663057445211722E+000                  4.6377330252835854E+003                  1.8482228803172125E+000                  1.5867199058524131E+000                  6.9999999866130880E+000                 -8.3793350449770916E+000                  5.8556401793392387E+000                 -3.7216469699954708E+000                  1.0294680773674527E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000012E-001                  2.4197424632953285E-001                  1.7234416803928876E-004                  4.6797044775657385E-004                  5.0517137046674686E-005                 -2.9562627971728509E-004                 -1.4952701726921442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4952701726921442E+001                 -1.4952701726921442E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.6330116470820788E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  1.1425649372976533E-012                 -1.1189388349598786E+001                                        0                                       10   7.947616E+00   6.621456E-04   7.732466E-02   -2.168329E+00   -4.350159E+00   -4.971830E+00   -5.658989E+00   -3.839982E+00   -1.543505E+00   -3.171637E+00
                                      66                                      510                  4.3923242006505969E+000                 -1.5879775970926419E-001                  3.3162520715273738E+000                  3.6663114211406516E+000                  4.6377936450215429E+003                  1.8481563543468813E+000                  1.5868529576134343E+000                  6.9999999837176157E+000                 -8.3794827462123891E+000                  5.8557009121169754E+000                 -3.7214399021001170E+000                  1.0294947722928452E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000045E-001                  2.4197424632953293E-001                  1.7234416803928876E-004                  4.6797044775657390E-004                  5.0517137046674706E-005                 -2.9562627971728515E-004                 -1.4951702619267785E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4951702619267785E+001                 -1.4951702619267785E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  4.1306911568525069E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8684774229685482E-013                 -1.1164229055127217E+001                                        0                                        2   7.947892E+00   6.619774E-04   7.733059E-02   -2.168123E+00   -4.349881E+00   -4.971534E+00   -5.658678E+00   -3.839717E+00   -1.543383E+00   -3.171391E+00
                                      67                                      510                  5.2248227517805876E+000                 -7.9616513661639382E-002                  3.3161198105819145E+000                  3.6663182318768071E+000                  4.6378663768610086E+003                  1.8480766024018400E+000                  1.5870124612880356E+000                  6.9999999802444632E+000                 -8.3796596174658262E+000                  5.8557737615784751E+000                 -3.7211915093435217E+000                  1.0295267943472867E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657412E-004                  5.0517137046674726E-005                  7.5700000000000012E-001                  2.4197424632953285E-001                  1.7234416803928876E-004                  4.6797044775657385E-004                  5.0517137046674693E-005                 -2.9562627971728509E-004                 -1.4950504303111398E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4950504303111398E+001                 -1.4950504303111398E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.8395157428750208E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.7404466286684618E-013                 -1.1141236713749484E+001                                        0                                        2   7.948223E+00   6.617758E-04   7.733771E-02   -2.167875E+00   -4.349548E+00   -4.971181E+00   -5.658306E+00   -3.839399E+00   -1.543236E+00   -3.171097E+00
                                      68                                      510                  6.2238210131365772E+000                 -4.3526761401457717E-004                  3.3159612189016765E+000                  3.6663264006209220E+000                  4.6379536123695198E+003                  1.8479809690734910E+000                  1.5872037276862818E+000                  6.9999999760787137E+000                 -8.3798716301408440E+000                  5.8558611235477711E+000                 -3.7208935906129144E+000                  1.0295651997577158E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674733E-005                  7.5700000000000034E-001                  2.4197424632953285E-001                  1.7234416803928876E-004                  4.6797044775657390E-004                  5.0517137046674693E-005                 -2.9562627971728515E-004                 -1.4949067176738636E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4949067176738636E+001                 -1.4949067176738636E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  3.9303087989634826E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8771426544922468E-013                 -1.1118643285007577E+001                                        0                                        2   7.948619E+00   6.615341E-04   7.734627E-02   -2.167578E+00   -4.349148E+00   -4.970756E+00   -5.657860E+00   -3.839018E+00   -1.543060E+00   -3.170744E+00
                                      69                                      510                  7.4226189267637652E+000                  7.8745978433610211E-002                  3.3157710435536210E+000                  3.6663361960659642E+000                  4.6380582218774862E+003                  1.8478662905093799E+000                  1.5874330845045432E+000                  6.9999999710827403E+000                 -8.3801258548909807E+000                  5.8559658713826312E+000                 -3.7205363141433603E+000                  1.0296112548936076E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674726E-005                  7.5700000000000023E-001                  2.4197424632953285E-001                  1.7234416803928881E-004                  4.6797044775657396E-004                  5.0517137046674699E-005                 -2.9562627971728515E-004                 -1.4947343868715393E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4947343868715393E+001                 -1.4947343868715393E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  4.0382045776682564E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8899987817735425E-013                 -1.1097125576243050E+001                                        0                                        2   7.949095E+00   6.612445E-04   7.735656E-02   -2.167222E+00   -4.348669E+00   -4.970247E+00   -5.657325E+00   -3.838562E+00   -1.542849E+00   -3.170320E+00
                                      70                                      510                  8.8611764231163903E+000                  1.5792722448123500E-001                  3.3155430145037128E+000                  3.6663479401296488E+000                  4.6381836445800145E+003                  1.8477287878570565E+000                  1.5877080894374984E+000                  6.9999999650917797E+000                 -8.3804307084931864E+000                  5.8560914443144139E+000                 -3.7201079077855881E+000                  1.0296664759219125E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928868E-004                  4.6797044775657412E-004                  5.0517137046674733E-005                  7.5700000000000034E-001                  2.4197424632953282E-001                  1.7234416803928878E-004                  4.6797044775657385E-004                  5.0517137046674693E-005                 -2.9562627971728504E-004                 -1.4945277708267779E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4945277708267779E+001                 -1.4945277708267779E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  4.1306911678433478E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8973001786195341E-013                 -1.1076619405570357E+001                                        0                                        2   7.949665E+00   6.608973E-04   7.736892E-02   -2.166795E+00   -4.348094E+00   -4.969637E+00   -5.656683E+00   -3.838014E+00   -1.542596E+00   -3.169812E+00
                                      71                                      510                  1.0587445418739538E+001                  2.3710847052885978E-001                  3.3152696386233336E+000                  3.6663620180023488E+000                  4.6383339960579578E+003                  1.8475639441714655E+000                  1.5880377763630258E+000                  6.9999999579086749E+000                 -8.3807962398237272E+000                  5.8562419536903949E+000                 -3.7195942862887441E+000                  1.0297326765194011E+001                  7.5700000000000012E-001                  2.4197424632953299E-001                  1.7234416803928865E-004                  4.6797044775657407E-004                  5.0517137046674726E-005                  7.5700000000000034E-001                  2.4197424632953285E-001                  1.7234416803928876E-004                  4.6797044775657385E-004                  5.0517137046674686E-005                 -2.9562627971728509E-004                 -1.4942800935893512E+001                 -9.8999999999999986E+001                 -3.0404029562062100E+001                 -1.4942800935893512E+001                 -1.4942800935893512E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999838492349946E-001                  4.1306911720821272E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                                        2                  3.8549152486435387E-013                 -1.1057287672877768E+001                                        0                                        2   7.950349E+00   6.604814E-04   7.738380E-02   -2.166283E+00   -4.347405E+00   -4.968906E+00   -5.655914E+00   -3.837358E+00   -1.542293E+00   -3.169204E+00
