star_age  Teff  log_g  metallicity  Mag_bol  Flux_bol  Interp_rad  B  I  J  M  R  U  V
   5.673773E-03   3.745277E+03   7.793944E-01   0.000000E+00    6.857692E+00   1.806854E-03   4.412124E-02  -1.607799E+00  -5.356683E+00  -6.341563E+00  -7.306059E+00  -4.355319E+00   5.633579E-01  -3.174328E+00
   6.818528E-03   3.749002E+03   7.792958E-01   0.000000E+00    6.853117E+00   1.814483E-03   4.414084E-02  -1.622773E+00  -5.362645E+00  -6.344816E+00  -7.307599E+00  -4.366186E+00   5.495459E-01  -3.189017E+00
   8.192233E-03   3.753638E+03   7.791754E-01   0.000000E+00    6.847426E+00   1.824019E-03   4.416499E-02  -1.641373E+00  -5.370022E+00  -6.348870E+00  -7.309510E+00  -4.379656E+00   5.323685E-01  -3.207224E+00
   9.840680E-03   3.758825E+03   7.790349E-01   0.000000E+00    6.841055E+00   1.834754E-03   4.419343E-02  -1.661960E+00  -5.378222E+00  -6.353423E+00  -7.311658E+00  -4.394656E+00   5.138058E-01  -3.227445E+00
   1.181882E-02   3.764259E+03   7.788761E-01   0.000000E+00    6.834363E+00   1.846098E-03   4.422585E-02  -1.683297E+00  -5.386770E+00  -6.358225E+00  -7.313933E+00  -4.410305E+00   4.950346E-01  -3.248475E+00
   1.419258E-02   3.769696E+03   7.787004E-01   0.000000E+00    6.827638E+00   1.857568E-03   4.426195E-02  -1.704430E+00  -5.395291E+00  -6.363075E+00  -7.316246E+00  -4.425900E+00   4.768583E-01  -3.269366E+00
   1.704109E-02   3.774954E+03   7.785091E-01   0.000000E+00    6.821093E+00   1.868800E-03   4.430144E-02  -1.724693E+00  -5.403519E+00  -6.367821E+00  -7.318533E+00  -4.440942E+00   4.597665E-01  -3.289448E+00
   2.045931E-02   3.779911E+03   7.783034E-01   0.000000E+00    6.814869E+00   1.879543E-03   4.434398E-02  -1.743662E+00  -5.411281E+00  -6.372361E+00  -7.320747E+00  -4.455096E+00   4.440215E-01  -3.308283E+00
   2.456118E-02   3.784498E+03   7.780846E-01   0.000000E+00    6.809048E+00   1.889647E-03   4.438928E-02  -1.761125E+00  -5.418487E+00  -6.376635E+00  -7.322864E+00  -4.468191E+00   4.297085E-01  -3.325648E+00
   2.948341E-02   3.788685E+03   7.778541E-01   0.000000E+00    6.803665E+00   1.899039E-03   4.443697E-02  -1.777011E+00  -5.425102E+00  -6.380615E+00  -7.324869E+00  -4.480156E+00   4.168127E-01  -3.341462E+00
   3.539009E-02   3.792467E+03   7.776136E-01   0.000000E+00    6.798727E+00   1.907696E-03   4.448666E-02  -1.791342E+00  -5.431129E+00  -6.384293E+00  -7.326759E+00  -4.490996E+00   4.052594E-01  -3.355741E+00
   4.247811E-02   3.795854E+03   7.773653E-01   0.000000E+00    6.794228E+00   1.915618E-03   4.453787E-02  -1.804177E+00  -5.436584E+00  -6.387669E+00  -7.328531E+00  -4.500743E+00   3.949635E-01  -3.368537E+00
   5.098373E-02   3.798865E+03   7.771120E-01   0.000000E+00    6.790151E+00   1.922825E-03   4.458999E-02  -1.815604E+00  -5.441495E+00  -6.390752E+00  -7.330185E+00  -4.509456E+00   3.858264E-01  -3.379935E+00
   6.119048E-02   3.801511E+03   7.768572E-01   0.000000E+00    6.786489E+00   1.929320E-03   4.464230E-02  -1.825683E+00  -5.445878E+00  -6.393542E+00  -7.331717E+00  -4.517170E+00   3.777835E-01  -3.389992E+00
   7.343858E-02   3.803808E+03   7.766052E-01   0.000000E+00    6.783236E+00   1.935109E-03   4.469393E-02  -1.834472E+00  -5.449750E+00  -6.396042E+00  -7.333122E+00  -4.523925E+00   3.707767E-01  -3.398767E+00
   8.813629E-02   3.805769E+03   7.763606E-01   0.000000E+00    6.780386E+00   1.940196E-03   4.474396E-02  -1.842027E+00  -5.453122E+00  -6.398251E+00  -7.334395E+00  -4.529754E+00   3.647571E-01  -3.406312E+00
   1.057736E-01   3.807413E+03   7.761280E-01   0.000000E+00    6.777929E+00   1.944591E-03   4.479143E-02  -1.848409E+00  -5.456012E+00  -6.400171E+00  -7.335528E+00  -4.534700E+00   3.596718E-01  -3.412688E+00
   1.269383E-01   3.808764E+03   7.759118E-01   0.000000E+00    6.775850E+00   1.948319E-03   4.483546E-02  -1.853699E+00  -5.458445E+00  -6.401811E+00  -7.336521E+00  -4.538818E+00   3.554548E-01  -3.417977E+00
   1.523359E-01   3.809851E+03   7.757158E-01   0.000000E+00    6.774120E+00   1.951425E-03   4.487531E-02  -1.858008E+00  -5.460457E+00  -6.403187E+00  -7.337375E+00  -4.542188E+00   3.520190E-01  -3.422288E+00
   1.828131E-01   3.810715E+03   7.755430E-01   0.000000E+00    6.772704E+00   1.953972E-03   4.491039E-02  -1.861465E+00  -5.462096E+00  -6.404322E+00  -7.338094E+00  -4.544904E+00   3.492607E-01  -3.425749E+00
   2.193857E-01   3.811395E+03   7.753959E-01   0.000000E+00    6.771562E+00   1.956028E-03   4.494023E-02  -1.864210E+00  -5.463413E+00  -6.405243E+00  -7.338688E+00  -4.547069E+00   3.470693E-01  -3.428499E+00
   2.632729E-01   3.811929E+03   7.752768E-01   0.000000E+00    6.770656E+00   1.957661E-03   4.496437E-02  -1.866375E+00  -5.464456E+00  -6.405976E+00  -7.339163E+00  -4.548778E+00   3.453414E-01  -3.430667E+00
   3.159374E-01   3.812367E+03   7.751882E-01   0.000000E+00    6.769936E+00   1.958960E-03   4.498236E-02  -1.868127E+00  -5.465289E+00  -6.406554E+00  -7.339531E+00  -4.550155E+00   3.439420E-01  -3.432420E+00
   3.791349E-01   3.812702E+03   7.751328E-01   0.000000E+00    6.769416E+00   1.959898E-03   4.499364E-02  -1.869436E+00  -5.465894E+00  -6.406966E+00  -7.339781E+00  -4.551176E+00   3.428970E-01  -3.433728E+00
   4.549719E-01   3.812974E+03   7.751138E-01   0.000000E+00    6.769059E+00   1.960543E-03   4.499762E-02  -1.870437E+00  -5.466321E+00  -6.407235E+00  -7.339921E+00  -4.551939E+00   3.420986E-01  -3.434724E+00
   5.459763E-01   3.813202E+03   7.751346E-01   0.000000E+00    6.768852E+00   1.960917E-03   4.499361E-02  -1.871184E+00  -5.466586E+00  -6.407369E+00  -7.339947E+00  -4.552481E+00   3.415036E-01  -3.435460E+00
   6.551815E-01   3.813401E+03   7.751990E-01   0.000000E+00    6.768787E+00   1.961035E-03   4.498086E-02  -1.871725E+00  -5.466702E+00  -6.407370E+00  -7.339856E+00  -4.552836E+00   3.410744E-01  -3.435984E+00
   7.862279E-01   3.813584E+03   7.753116E-01   0.000000E+00    6.768859E+00   1.960904E-03   4.495849E-02  -1.872096E+00  -5.466676E+00  -6.407239E+00  -7.339642E+00  -4.553027E+00   3.407822E-01  -3.436330E+00
   9.434834E-01   3.813767E+03   7.754774E-01   0.000000E+00    6.769065E+00   1.960532E-03   4.492545E-02  -1.872338E+00  -5.466517E+00  -6.406975E+00  -7.339296E+00  -4.553082E+00   3.405945E-01  -3.436538E+00
   1.132190E+00   3.813962E+03   7.757028E-01   0.000000E+00    6.769408E+00   1.959913E-03   4.488052E-02  -1.872473E+00  -5.466224E+00  -6.406572E+00  -7.338808E+00  -4.553010E+00   3.404939E-01  -3.436628E+00
   1.358638E+00   3.814177E+03   7.759954E-01   0.000000E+00    6.769894E+00   1.959036E-03   4.482218E-02  -1.872521E+00  -5.465793E+00  -6.406018E+00  -7.338162E+00  -4.552822E+00   3.404647E-01  -3.436620E+00
   1.630376E+00   3.814424E+03   7.763640E-01   0.000000E+00    6.770534E+00   1.957881E-03   4.474865E-02  -1.872495E+00  -5.465216E+00  -6.405300E+00  -7.337339E+00  -4.552522E+00   3.404967E-01  -3.436525E+00
   1.956461E+00   3.814713E+03   7.768196E-01   0.000000E+00    6.771344E+00   1.956421E-03   4.465778E-02  -1.872405E+00  -5.464479E+00  -6.404400E+00  -7.336317E+00  -4.552106E+00   3.405825E-01  -3.436349E+00
   2.347763E+00   3.815055E+03   7.773751E-01   0.000000E+00    6.772345E+00   1.954619E-03   4.454695E-02  -1.872256E+00  -5.463566E+00  -6.403293E+00  -7.335066E+00  -4.551571E+00   3.407182E-01  -3.436096E+00
   2.817326E+00   3.815461E+03   7.780468E-01   0.000000E+00    6.773562E+00   1.952429E-03   4.441296E-02  -1.872052E+00  -5.462452E+00  -6.401949E+00  -7.333552E+00  -4.550905E+00   3.409019E-01  -3.435766E+00
   3.380801E+00   3.815945E+03   7.788545E-01   0.000000E+00    6.775030E+00   1.949790E-03   4.425183E-02  -1.871791E+00  -5.461106E+00  -6.400329E+00  -7.331729E+00  -4.550094E+00   3.411346E-01  -3.435355E+00
   4.056971E+00   3.816524E+03   7.798228E-01   0.000000E+00    6.776793E+00   1.946627E-03   4.405868E-02  -1.871471E+00  -5.459489E+00  -6.398386E+00  -7.329544E+00  -4.549115E+00   3.414201E-01  -3.434853E+00
   4.868375E+00   3.817215E+03   7.809817E-01   0.000000E+00    6.778904E+00   1.942847E-03   4.382751E-02  -1.871082E+00  -5.457553E+00  -6.396060E+00  -7.326928E+00  -4.547941E+00   3.417653E-01  -3.434248E+00
   5.842060E+00   3.818043E+03   7.823672E-01   0.000000E+00    6.781427E+00   1.938336E-03   4.355114E-02  -1.870614E+00  -5.455237E+00  -6.393279E+00  -7.323800E+00  -4.546536E+00   3.421792E-01  -3.433523E+00
   7.010482E+00   3.819046E+03   7.840226E-01   0.000000E+00    6.784425E+00   1.932991E-03   4.322100E-02  -1.870104E+00  -5.452489E+00  -6.389968E+00  -7.320069E+00  -4.544893E+00   3.426343E-01  -3.432704E+00
